academic_year,tcas_round_code,tcas_round_name,project_id,fac_id,fac_name,major_id,major_name,major_type,application_choices,unique_applicants,confirmed_unique_applicants,applicant_status_1_rows,applicant_status_2_rows,applicant_status_3_rows,avg_score,min_score,max_score,avg_priority,min_priority,max_priority,applicant_rows,selected_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_elsewhere_rows,confirmed_rows,surrendered_rows,round2_surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,104,104,5,0,28,76,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,5,0,0,76,0,1
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,61,61,5,0,11,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,5,0,0,50,0,0
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,311,311,28,0,51,260,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,28,0,1,260,0,3
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,166,166,13,0,44,122,0.0,0.0,0.0,0.0,0,0,0,0,0,0,27,13,0,1,122,1,2
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,193,193,15,0,55,138,0.0,0.0,0.0,0.0,0,0,0,0,0,0,39,15,0,0,138,0,1
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,106,106,25,0,48,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,25,0,1,58,4,2
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,116,116,21,0,43,73,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,21,0,1,73,0,2
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,207,207,17,0,47,160,0.0,0.0,0.0,0.0,0,0,0,0,0,0,23,17,0,1,160,3,3
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,72,72,19,0,28,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8,19,0,1,44,0,0
2569,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,55,55,15,0,24,31,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8,15,0,0,31,1,0
2569,TCAS2,Quota,B1100,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,2,2,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,82,82,12,0,17,65,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,12,0,0,65,2,2
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,11,11,4,0,6,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,4,0,0,5,0,0
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,36,36,12,0,14,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,12,0,0,22,0,1
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,118,118,27,0,35,83,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,27,0,0,83,1,1
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,154,154,4,0,7,147,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,4,0,0,147,0,2
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,14,14,3,0,6,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,3,0,0,8,0,1
2569,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,16,16,10,0,10,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,6,0,0
